Unique ID;Brand Name;Model Name;Model Number;Type;U  Processor Brand;U  Processor Name;U  Operating System Name;U  Base Processor Speed Per Core (GHz);U  Physical CPU Cores (count);U  System Memory (GB);WLAN Capability;Ethernet Capability?;Bluetooth Capability;Bluetooth Capability__1;U  Gigabit Ethernet Ports (count);U  Installed System Memory RAM (GB);U  Integrated Display Resolution (megapixels);U  Integrated Display Viewable Screen Area (sq in);U  Number of Storage Drives;;U  Storage Technology
2333925;ASUS;PN30 Series;PN30;Desktop;AMD;E2-7015 R2;Windows 10;1,5;2;4;Yes;Yes;Yes;Yes;1;4;NA;NA;1;Conventional;Solid State Drive
2331880;LG;22V280*;22V280*-*;Integrated Desktop;Intel;Pentium;Windows 10;1,1;2;8;Yes;Yes;Yes;Yes;1;8;2,07;197,6;2;Conventional;Solid State Drive,Hard Disk Drive
2331542;ASUS;UN45 Series;UN45;Desktop;Intel;Celeron;Windows 8.1;1;2;2;Yes;Yes;Yes;Yes;1;2;NA;NA;1;Conventional;Solid State Drive
2331097;ASUS;PN40 Series;PN40;Desktop;Intel;Celeron;Windows 10;1,1;2;2;Yes;Yes;Yes;Yes;1;2;NA;NA;1;Conventional;Hard Disk Drive
2331091;ASUS;PB40 Series;PB40;Desktop;Intel;Celeron;Windows 10;1,1;2;4;Yes;Yes;Yes;Yes;1;4;NA;NA;1;Conventional;Hard Disk Drive
2329219;ASUS;V161G Series;V161G;Integrated Desktop;Intel;Celeron;Windows 10;1,1;2;8;Yes;Yes;Yes;Yes;1;8;1,05;103,23;1;Conventional;Solid State Drive
2329139;DELL;W21C;Inspiron 24-3475;Integrated Desktop;AMD;E2-9200e;Windows 10;1,5;2;16;Yes;Yes;Yes;Yes;1;16;2,07;242,18;1;Conventional;Hard Disk Drive
2328949;DELL;W19B;Inspiron 22-3275;Integrated Desktop;AMD;E2-9200e;Windows 10,Ubuntu;1,5;2;16;Yes;Yes;Yes;Yes;1;16;2,07;197,59;1;Conventional;Hard Disk Drive
2322979;HP;HP Engage Go Convertible System;HP Engage Go Convertible System;Integrated Desktop;Intel;Core i5;Windows 10;1,2;2;8;Yes;No;Yes;Yes;NA;8;2,46;69,83;1;Conventional;Solid State Drive
2333840;CYBERNET;LCD PC CyberMed NB series;CyberMed NB19 & iOne NB19;Integrated Desktop;Intel;NA;NA;2,6;2;32;Yes;Yes;Yes;Yes;2;32;1,31;175,6;3;Conventional;NA
